,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Precios Pasaje Clase Turistica,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ATL (USA),PEK (CHN),DXB (ARE),TYO (JPN),LON (GBR),LAX (USA),PAR (FRA),FRA (DEU),IST (TUR),SIN (SGP),MAD (ESP),AMS (NLD),DFW (USA),CAN (CHN),SAO (BRA),,Origen,Fabricante,Modelo,Primera clase,Económica / Turística,Motores,Longitud,Envergadura,Alcance (km),Velocidad crucero (km/h),Alcance (mn)
,ATL (USA),0,,,"1,400",,400,,800,,"1,500",800,,200,,900,,Francia,Airbus,Airbus A380-800,10,439,4 turbofán,72.7 m,79.8 m,"15,200",900,"8,200"
,PEK (CHN),,0,700,500,900,,950,,,600,950,900,"1,150",200,"1,700",,USA,Boeing,Boeing 777-300ER,10,300,2 turbofán,73.9 m,64.8 m,"13,650",905,"7,370"
,DXB (ARE),,700,0,750,650,"1,300",700,600,400,600,,650,"1,200",650,"1,400",,Francia,Airbus,Airbus A350-900,12,250,2 turbofán,66.8 m,64.8 m,"15,000",900,"8,100"
,TYO (JPN),"1,400",500,750,0,"1,000",900,"1,050",,900,700,"1,100",,"1,350",550,,,USA,Boeing,Boeing 787-9 Dreamliner,8,220,2 turbofán,62.8 m,60.1 m,"14,100",903,"7,600"
,LON (GBR),700,,650,"1,000",0,800,150,,400,,200,150,,950,"1,100",,,,,,,,,,,,
,LAX (USA),400,"1,100","1,300",900,,0,850,900,"1,100","1,400",,850,300,"1,150",,,,,,,,,,,,,
,PAR (FRA),750,,700,"1,050",,850,0,150,450,950,200,180,,950,"1,050",,,,ATL (USA),,,,,,,,
,FRA (DEU),,850,600,950,200,900,150,0,350,900,,,850,900,,,,ATL (USA),0,,,,,,,,
,IST (TUR),,800,400,900,,"2,999",,350,0,800,500,450,"1,000",800,"1,200",,,PEK (CHN),,,,,,,,,
,SIN (SGP),,600,,700,900,,950,,800,0,"1,000",,"1,400",,,,,DXB (ARE),,,,,,,,,
,MAD (ESP),,,750,,,900,200,250,500,"1,000",0,200,850,950,"1,000",,,TYO (JPN),0,,,,,,,,
,AMS (NLD),780,900,650,"1,000",150,850,,,450,950,200,0,800,900,"1,050",,,LON (GBR),,,,,,,,,
,DFW (USA),200,,"1,200",,,300,800,,"1,000",,850,800,0,"1,200",950,,,LAX (USA),ATL (USA),,,,,,,,
,CAN (CHN),"1,250",200,650,550,950,"1,150",950,,800,500,,900,"1,200",0,"1,700",,,PAR (FRA),,,,,,,,,
,SAO (BRA),900,"1,700",,"1,800","1,100",,"1,050","1,100","1,200",,"1,000",,950,"1,700",0,,,FRA (DEU),ATL (USA),,,,,,,,
,,,,,,,,,,,,,,,,,,,IST (TUR),,,,,,,,,
,Precios Pasaje Primera Clase,,,,,,,,,,,,,,,,,,SIN (SGP),0,,,,,,,,
,,ATL (USA),PEK (CHN),DXB (ARE),TYO (JPN),LON (GBR),LAX (USA),PAR (FRA),FRA (DEU),IST (TUR),SIN (SGP),MAD (ESP),AMS (NLD),DFW (USA),CAN (CHN),SAO (BRA),,,MAD (ESP),ATL (USA),,,,,,,,
,ATL (USA),0,,,"1,890",,540,,"1,080",,"2,025","1,080",,270,,"1,215",,,AMS (NLD),,,,,,,,,
,PEK (CHN),,0,945,675,"1,215",,"1,283",,,810,"1,283","1,215","1,553",270,"2,295",,,,,,,,,,,,
,DXB (ARE),,945,0,"1,013",878,"1,755",945,810,540,810,,878,"1,620",878,"1,890",,,,,,,,,,,,
